statement,depression_level
"I have been enjoying my morning yoga sessions.",0
"Sometimes I feel stressed about my job but try to stay positive.",1
"My self-esteem has taken a hit due to constant failures.",2
"I feel like giving up on everything; nothing excites me anymore.",3
"I feel blessed to have a strong support system.",0
"I feel uncertain about my career, but I trust the process.",1
"I have been feeling emotionally exhausted for weeks now.",2
"I feel like giving up on everything; nothing excites me anymore.",3
"Festivals bring so much joy and positivity into my life.",0
"Some days are tough, but my family's encouragement keeps me going.",1
"I feel stuck in life and don’t know which direction to take.",2
"I have lost interest in all the things I once loved.",3
"My career is on track, and I am excited for the future.",0
"Sometimes I feel stressed about my job but try to stay positive.",1
"I have been feeling emotionally exhausted for weeks now.",2
"I feel like a failure, unable to achieve anything significant.",3
"Festivals bring so much joy and positivity into my life.",0
"I feel uncertain about my career, but I trust the process.",1
"I often feel unappreciated despite putting in my best efforts.",2
"Every day feels like a burden, and I struggle to keep going.",3
"My career is on track, and I am excited for the future.",0
"I have been overthinking a lot but remind myself to relax.",1
"I have been feeling emotionally exhausted for weeks now.",2
"Even my favorite foods don’t bring me joy anymore.",3
"I feel blessed to have a strong support system.",0
"Managing expenses is challenging, but I believe things will get better.",1
"I haven't been able to concentrate on work properly.",2
"I avoid talking to people because I don’t want to explain my sadness.",3
"I have been enjoying my morning yoga sessions.",0
"I feel exhausted after long working hours but remain hopeful.",1
"Job rejection emails have started affecting my confidence.",2
"Sleep has become my only escape from reality.",3
"I enjoy spending evenings with my friends over chai.",0
"Some days are tough, but my family's encouragement keeps me going.",1
"The rising cost of living adds to my stress every day.",2
"I avoid talking to people because I don’t want to explain my sadness.",3
"I am grateful for my family's support in everything.",0
"I feel uncertain about my career, but I trust the process.",1
"The rising cost of living adds to my stress every day.",2
"No matter what I do, I feel like I am not good enough.",3
"I love taking evening walks in my neighborhood park.",0
"I feel uncertain about my career, but I trust the process.",1
"I feel mentally drained from trying to prove myself constantly.",2
"No matter what I do, I feel like I am not good enough.",3
"Cooking traditional food makes me feel connected to my roots.",0
"Managing expenses is challenging, but I believe things will get better.",1
"I often feel unappreciated despite putting in my best efforts.",2
"I find it hard to even get out of bed in the morning.",3
"I love taking evening walks in my neighborhood park.",0
"I feel exhausted after long working hours but remain hopeful.",1
"My self-esteem has taken a hit due to constant failures.",2
"I avoid talking to people because I don’t want to explain my sadness.",3
"Cooking traditional food makes me feel connected to my roots.",0
"I feel uncertain about my career, but I trust the process.",1
"Socializing feels like an effort; I prefer being alone nowadays.",2
"I have lost interest in all the things I once loved.",3
"I look forward to weekends spent with my loved ones.",0
"I try to stay strong despite the ups and downs in life.",1
"I get anxious thinking about my responsibilities and future.",2
"There is a constant heaviness in my heart that won’t go away.",3
"I have been enjoying my morning yoga sessions.",0
"I feel uncertain about my career, but I trust the process.",1
"My self-esteem has taken a hit due to constant failures.",2
"No matter what I do, I feel like I am not good enough.",3
"I feel blessed to have a strong support system.",0
"Sometimes I feel stressed about my job but try to stay positive.",1
"The rising cost of living adds to my stress every day.",2
"I find it hard to even get out of bed in the morning.",3
"I feel blessed to have a strong support system.",0
"I have been overthinking a lot but remind myself to relax.",1
"I haven't been able to concentrate on work properly.",2
"Sleep has become my only escape from reality.",3
"I have been enjoying my morning yoga sessions.",0
"I have been overthinking a lot but remind myself to relax.",1
"I haven't been able to concentrate on work properly.",2
"No matter what I do, I feel like I am not good enough.",3
"I am grateful for my family's support in everything.",0
"Sometimes I feel stressed about my job but try to stay positive.",1
"The rising cost of living adds to my stress every day.",2
"I have lost interest in all the things I once loved.",3
"Festivals bring so much joy and positivity into my life.",0
"I feel uncertain about my career, but I trust the process.",1
"I get anxious thinking about my responsibilities and future.",2
"I avoid talking to people because I don’t want to explain my sadness.",3
"I have been enjoying my morning yoga sessions.",0
"The pressure of balancing work and home gets to me at times.",1
"I haven't been able to concentrate on work properly.",2
"I feel like giving up on everything; nothing excites me anymore.",3
"I love taking evening walks in my neighborhood park.",0
"Sometimes I feel stressed about my job but try to stay positive.",1
"I feel mentally drained from trying to prove myself constantly.",2
"No matter what I do, I feel like I am not good enough.",3
"Work is going well, and I feel happy about my progress.",0
"I feel uncertain about my career, but I trust the process.",1
"I haven't been able to concentrate on work properly.",2
"Every day feels like a burden, and I struggle to keep going.",3
"I feel proud when I see my parents happy because of my achievements.",0
"Even though I work hard, I feel like I am not progressing in life.",1
"The competition for government jobs makes me feel anxious and stressed.",2
"I feel like I am a burden on my family because I am unemployed.",3
"I find peace in lighting a diya at my home temple every evening.",0
"Balancing work and family responsibilities is exhausting but fulfilling.",1
"Even after working overtime, I struggle to make ends meet.",2
"I don’t see a future for myself, everything feels pointless.",3
"Spending time with my family during festivals brings me joy.",0
"I have faith that good times will come despite my struggles.",1
"I constantly worry about my children's education and future.",2
"I feel like my existence has no purpose anymore.",3
"I love listening to old Bollywood songs; they lift my mood.",0
"The pressure of marriage from society stresses me out.",1
"I feel exhausted managing household chores and my job.",2
"I feel completely hopeless about my career and life.",3
"Going for a morning walk in the park refreshes my mind.",0
"I remind myself that tough times don’t last forever.",1
"My financial struggles have made me doubt my self-worth.",2
"I feel like my life is just a cycle of suffering.",3
"I feel relaxed when I visit a temple or gurudwara.",0
"I try to stay strong despite constant failures in job interviews.",1
"I feel guilty that I can’t support my family financially.",2
"I don’t feel like waking up and facing another day.",3
"Preparing traditional dishes with my mother brings me happiness.",0
"I believe that hard work will eventually pay off.",1
"I feel suffocated by societal expectations of success and marriage.",2
"Nothing excites me anymore, not even my favorite food.",3
"Watching cricket with my friends brings back childhood memories.",0
"The fear of failing my exams keeps me awake at night.",1
"I feel like I am always falling behind my peers.",2
"I feel like disappearing so I don’t have to deal with life.",3
"Attending weddings and celebrations makes me feel connected to my roots.",0
"Despite my struggles, I believe that my luck will change.",1
"I enjoy visiting my village and spending time with my grandparents.",0
"I try to stay positive, even when my problems feel overwhelming.",1
"I feel drained trying to prove myself to society.",2
"I feel like I don’t belong anywhere anymore.",3
"Celebrating Diwali with family fills me with happiness.",0
"Even though I fail, I tell myself to keep trying.",1
"I feel like I am just existing, not really living.",2
"I don’t think I will ever be happy again.",3
"Having chai with my neighbors in the evening is comforting.",0
"I try to focus on the small joys in life.",1
"I feel like I have lost my identity.",2
"I feel like crying all the time for no reason.",3
"I feel proud when I score well in my exams.",0
"The pressure of board exams keeps me up at night.",1
"I study for hours, yet I feel I am not good enough.",2
"I feel like a failure because I couldn't clear the IIT entrance.",3
"I enjoy reading and learning new things.",0
"My parents' expectations from my studies stress me out.",1
"I feel ashamed that I failed an important exam.",2
"No matter how much I study, I feel like I will never succeed.",3
"I love discussing new ideas with my friends at college.",0
"The competition for government exams makes me anxious.",1
"I feel stuck in a cycle of studying and failing.",2
"I feel like quitting everything because my studies are not going well.",3
"I feel happy whenever I can help someone in need.",0
"I have hope that I will pass my exams and make my family proud.",1
"Even when I fail, I remind myself that it’s not the end.",2
"I feel like I am running out of time to achieve anything meaningful.",3
"I feel proud when I see my crops growing well.",0  
"The uncertainty of monsoon rains stresses me out.",1  
"I feel helpless when my crops fail due to unpredictable weather.",2  
"I feel like I have no way out of this cycle of debt and loss.",3  
"I love working in the fields and being close to nature.",0  
"The increasing cost of fertilizers makes farming difficult.",1  
"I feel like farming is no longer profitable for small farmers like me.",2  
"I feel like I will never be able to repay my loans.",3  
"I enjoy the harvest season and the celebrations that follow.",0  
"Market prices for my produce are so low that I barely make a profit.",1  
"I feel trapped because I have no other source of income.",2  
"I feel like ending my life because I can't provide for my family.",3  
"I feel happy when I can provide food for my village.",0  
"The middlemen take away most of my earnings, leaving me with nothing.",1  
"I feel ashamed that I have to depend on government schemes for survival.",2  
"I feel like my struggles will never end, no matter how hard I work.",3  
"I feel happy when my husband and children appreciate my efforts.",0  
"I feel exhausted managing household chores and family responsibilities.",1  
"I feel like my hard work at home is never acknowledged.",2  
"I feel like I am trapped in a life where I am only expected to serve others.",3  
"I enjoy cooking for my family and seeing them happy.",0  
"My in-laws expect too much from me, and it stresses me out.",1  
"I feel like I have lost my identity after marriage.",2  
"I feel like I have no personal space or freedom anymore.",3  
"I feel blessed to have a supportive husband.",0  
"I feel guilty for not being able to contribute financially to my home.",1  
"I feel like I have no say in important family decisions.",2  
"I feel like I am invisible in my own home.",3  
"I love spending time with my children and teaching them new things.",0  
"I feel pressured to meet everyone's expectations without complaining.",1  
"I feel like I am stuck in a life that is not mine.",2  
"I feel like no one cares about my dreams and aspirations.",3  
"I find joy in celebrating festivals with my family.",0  
"My husband works long hours, and I feel lonely at home.",1  
"I feel like I have lost all my personal ambitions after marriage.",2  
"I feel like I exist only to fulfill others' demands.",3  
"I love the simplicity and peace of my village life.",0  
"The lack of proper roads and infrastructure makes daily life difficult.",1  
"I feel like our village is neglected by the government.",2  
"I feel hopeless because no matter how hard we work, life remains the same.",3  
"I enjoy sitting with my neighbors and talking in the evening.",0  
"The lack of jobs in my village forces young people to leave for cities.",1  
"I feel stuck because I cannot afford to move to a better place.",2  
"I feel like my dreams will never come true because of where I live.",3  
"I feel happy when I see kids playing in the fields freely.",0  
"The lack of good schools in our village affects my children's future.",1  
"I feel like my children will also struggle just like I did.",2  
"I feel like no one cares about the struggles of rural people.",3  
"I love the fresh air and open spaces in my village.",0  
"The absence of hospitals makes it hard to get medical help in emergencies.",1  
